echelle,source,dominante,longueur,n_vecteurs,dim,two_nn,mle
phrase,,,courte,50,768,11.6249,21.0077
phrase,,,moyenne,50,768,19.8008,27.8875
phrase,,,longue,50,768,17.0628,21.6003
phrase,,NOUN,,50,768,10.5053,25.8908
phrase,,VERB,,50,768,13.5149,22.477
phrase,,ADJ,,50,768,23.5299,21.7582
phrase,,mixte,,50,768,17.6799,22.5846
mot,,,,4011,768,,17.8891
mot,,,,4011,768,,17.8891
phrase,,,courte,50,768,11.6249,21.0077
phrase,,,longue,50,768,17.0628,21.6003
phrase,,,moyenne,50,768,19.8008,27.8875
phrase,,ADJ,,50,768,23.5299,21.7582
phrase,,NOUN,,50,768,10.5053,25.8908
phrase,,VERB,,50,768,13.5149,22.477
phrase,,mixte,,50,768,17.6799,22.5846
mot,,,,4011,768,,17.8891
